institute_code,institute_name,address,mobile_no,ein,email,division
55235,"Montage Training and Certification, Jamalpur","Chamber Commerce Bhaban (1st Floor), Near BSCIC, Sadar, Jamalpur",1914861046,,montagebd@yahoo.com,DHAKA
62007,Moulavibazar Technical School and College,Moulavibazar,,,marfatnew@gmail.com,SYLHET
62080,"Moulvibazar Technical Training Center, Moulvibazar","Shamshernagar Road, Matarkapon, Moulvibazar Sadar",1930842074,,ttcmoulavibazar@gmail.com,SYLHET
49012,Munshiganj Technical School and College,"Sadar, Munshiganj",,,tscmunshiganj@gmail.com,DHAKA
33106,"Muslim Aid Institute of Technology (MAIT), Jessore","Magura Road, Bahadurpur, Jessore",1841246396,,jessore@muslimaid.org.bd,KHULNA
70298,"Muslim Aid Institute of Technology, Chattagram","Ali Noor Mansion (5th Floor), Oxyzen Moor, Chittagong",,,marfatnew@gmail.com,CHITTAGONG
50202,"Muslim Aid Institute of Technology, Mirpur, Dhaka","House # 87, Avenue #1, Block-B, Kalsi Road, Pallabi, Mirpur-12, Dhaka-1216",,,mait.dhaka@muslimaid.org.bd,DHAKA
50963,"Muslim Aid TVET Centre (MATC), Mohammadpur","Muslim Aid-UK, Bangladesh Field Office, House # 16, Road # 10, Shekhertek, Mohammadpur, Dhaka-1207",1680664500,,mait.dhaka@muslimaid.org.bd,DHAKA
57001,Mymensingh Poly,"Ashulia, Savar, Dhaka",,,marfatnew@gmail.com,DHAKA
57067,Mymensingh Polytechnic Institute,,,,,DHAKA
57037,Mymensingh Technical Training Center,"164, Maskanda, Mymensingh",1711979417,,ttcmym@gmail.com,DHAKA
47777,Naogaon Technical Training Center,"Bangabaria, Naogaon",,,,RAJSHAHI
32043,"Narail Technical Training Center (TTC), Narail",Narail Sadar,1818426124,,nttc.14@gmail.com,KHULNA
51012,Narayanganj Technical School and College,Narayanganj,,,,DHAKA
52047,Narshingdi Technical Training Center,"Saspur, Shibpur, Narshingd",1710834885,,narsingdittc@gmail.com,DHAKA
52041,NARSINGDI POLYTECHNIC INSTITUTE,"Sadar, Nasingdi",,,nrspoly@gmail.com,DHAKA
52014,Narsingdi Technical School and College,"Raipura, Narsingdi",,,,DHAKA
20293,"National Academy Computer Training & Research, Bogura","Fultala Road, Bogura",1711260450,,director@nactar.gov.bd,RAJSHAHI
50545,"National Hotel & Tourism Training Institute, Dhaka",Mohakhali,,,marfatnew@gmail.com,DHAKA
50402,"National Institute of Engineering and Technology (NIET), Dhaka","147/1, Green Road, Tejgaon, Dhaka-1215",,,marfatnew@gmail.com,DHAKA
51046,"National Institute of Engineering and Technology (NIET), Narayangonj","Rupshi, Rupganj, Narayanganj",,,marfatnew@gmail.com,DHAKA
53131,"National Institute of Fashion Technology (NIFT), Gazipur","Chandana, Gazipur Sadar, Gazipur",,,aziz.group.bd@gmail.com,DHAKA
50332,"National Institute of Fashion Technology (NIFT), Mohakhali","J-146, Wireless Gate, Mohakhali, Dhaka-1212",,,marfatnew@gmail.com,DHAKA
70177,"National Institute of Technology, Chittagong","224/329, Muradpur, Chittagong",,,marfatnew@gmail.com,CHITTAGONG
50514,"National Polytechnic Institute, Farmgate, Dhaka","Firmgate, Dhaka",,,,DHAKA
58149,"Netrokona Technical Training Center(TTC), Netrokona","Rajur Bazar, Netrokuna Sadar, Netrokuna",1712488039,,"netrakonattc@gmail.com,",DHAKA
77777,New Entry Hobe,"164, Maskanda, Mymensingh",1711979417,,ttcmym@gmail.com,DHAKA
63076,"New St. Mary’s Training Institute, Hobionj","Gobindopur, Hobigonj",1712016065,,rahulrjph@yahoo.com,SYLHET
14127,"Nilphamari Technical Training Center(TTC), Nilphamari","Chetashar Ghunti, Nilphamari Sadar, Nilphamari,",1716966627,,ttcnilphamari16@gmail.com,RANGPUR
68031,"Noakhali Technical Training Center(TTC), Noakhali","Gabua, Mijdee Bazar, Begumgonj, Noakhali",1718927825,,sohelrana198285@gmail.com,CHITTAGONG
34097,"Nobojibon Polytechnic Institute, Satkhira","Palaspole, Satkhira-9400",,,njpolitechnic02@gmail.com,KHULNA
53192,"Octal Technical Training Institute, Gazipur","Akota Shopping Complex (3rd Floor), Kaliakoir Bazar Road, Gazipur",1716258165,,octal53070@gmail.com,DHAKA
50705,Odhora Skill Development Training Institute,"Mohammadpur, Dhaka",,,khaniabobi87@gmail.com,DHAKA
50907,"Online Computer Training Institute, Savar, Dhaka.","Savar, Dhaka",1922615246,,e-mail: octcit@gmail.com,DHAKA
50708,P F D A Vocational Training Centre,"House # Road # 19/B, Mohakhali, DOHS, Dhaka-1212",,,autismbangladesh@gmail.com,DHAKA
26114,"Pabna Technical Training Centre, Pabna",Pabna,1716205372,,12ttcpabna@gmail.com,RAJSHAHI
11010,Panchagarh Technical School and College,Panchagarh Sadar,,,panchgarhtsc@gmail.com,RANGPUR
11071,"Panchagarh Technical Training Center (TTC), Panchagarh","Baganbari, Mirgarh Road, Panchagarh Sadar, Panchagarh-5000",1722960877,,principalpanchagarhttc@gmail.com,RANGPUR
39081,"Patuakhali Technical Training Centre (TTC), Patuakhali","Patuakhali Sadar, Patuakhali,",1712754483,,ttcpatuakhali@gmail.com,BARISAL
50961,"PCA- Professional Cooking Academy (PCA), Dhaka","Ground Floor(South Side), House#21/3, Road#27 (old), 16 (new), Dhanmondi, Dhaka-1209",1974499946,,,DHAKA
63060,"PDO Technical Training Institute (PDO-TT), Habigonj","Abdullah Complex, Paik Para Tamunia, Habiganj",1711266578,,pdobd@yahoo.com,SYLHET
60028,"PDO Technical Training Institute (PDO-TT), Sunamgonj","33, Aajobithi Road, Jamtola, Sunamgonj",1711266578,,pdobd@yahoo.com,SYLHET
59132,"PDO Technical Training Institute (PDO-TTI), Kishorgonj","313, Monipurghat, Kishorgonj",1711266578,,pdobd@yahoo.com,DHAKA
50908,"PencilBox Training Institute, Dhaka","EDB Trade Center, (5th Floor –East), 93 Kazi Nazrul Islam Avenue, Dhaka-1215.",1711873008,,pencilboxtraining@gmail.com,DHAKA
50909,"Persona Hair and Beauty Ltd, Mirpur, Dhaka","Plot # 1, Block # C, Avenue # 4, Section # 6, Pallabi, Mirpur, Dhaka-1216.",,,persona@gmail.com,DHAKA
37106,Pirojpur Technical Training Center,"Bypas Mor, Muktarkhati, Pirojpur",1713137979,,pirojpur.ttc@gmail.com,BARISAL
59159,"Pouro Digital Center(PDC), Katiyadi, Kishoregonj","Katiyadi, Kishoregonj",1711448079,,digitalktd@gmail.com,DHAKA
50840,"Prity Beauty parlour and Training Institute, Dhaka","76/1, Sky View K Box Tower(Ground Floor), Manik Nagar, Mugda, Dhaka-1203,",1756076077,,pritybeautyparlour1981@gmail.com,DHAKA
74087,"Rajapalong Uttaran Karigori Prosikkhan Kendra,Cox's Bazar","Uttaran office, Malvitapara, Ukhiya, Cox’s Bazar.",1717145044,,uttaran.coxtechnical@gmail.com,CHITTAGONG
47056,Rajbari Technical Training Center,"Aladipur, Homdompur, Rajbari",1721721389,,rajbarittc@gmail.com,DHAKA
23167,"Rajshahi MohilaTechnical Training Centre (TTC), Rajshahi","Sopura, Rajshahi",1712110274,,mttc.raj@gmail.com,RAJSHAHI
23105,"Rajshahi Politechnic Institute, Rajshahi",KURIGRAM,,,rajpolytech@gmail.com,RAJSHAHI
23064,"Rajshahi Technical Training Center, Rajshahi","Sopura, Rajshahi",,,ttcraj@gmail.com,RAJSHAHI
72003,Rangamati Technical Training Centre,"Sadar, Rangamati",,,ttcranga@yahoo.com,CHITTAGONG
72003,"Rangamati Technical Training Centre, Confuse",kurigram,,,kurigram@gmail.com,CHITTAGONG
50910,"Rangdhanu Academy, Mirpur, Dhaka","House-9, Lane-18, Block-b, Mirpur-10, 1216, Dhaka",1675702530,,,DHAKA
16031,Rangpur Technical School and College,Rangpur Sadar,,,anwar_rtsc@yahoo.com,RANGPUR
16092,"Rangpur Technical Training Centre (TTC), Rangpur","Dharmadash, Tamapat, Post Mirganj-5403, Rangpur",,,16092.ran.ttc@gmail.com,RANGPUR
50804,"Regency Hospitality Training Institute, Dhaka","HOUSE #15, Road # 03, Nikunj-2, Khilkhet, Dhaka-1229",1713332586,,info@rhtibd.com,DHAKA
20192,"Reliable Polytechnic Institute, Bogra","Kanzuri, Sherpur Road, Bogra",,,"simt, dhaka@gmail.com",RAJSHAHI
51088,"Remi Holdings Ltd, Narayanganj","Plot No 244, 245, 250",,,kayes@bitopibd.com,DHAKA
51999,"Residential & Vocational Women’s Training Center (RVWTC), Narayanganj","Arihazar, Narayanganj",1782818131,,abdulmannancse29@gmail.com,DHAKA
68099,"Residential & Vocational Women’s Training Center (RVWTC), Noakhali","Upazila Porishod, Sonaimuri, Noakhali",1782818131,,abdulmannancse29@gmail.com,CHITTAGONG
37109,"Residential & Vocational Women’s Training Center (RVWTC), Pirojpur","Halta Guliskhali, Mathbaria, Pirojpur",1782818131,,,BARISAL
50561,"Risda Institute of Technology, Birulia,Savar","Vill: Kaliyakoir, Po: Birulia,Thana: Savar, Dhaka.",1552350687,,risda.institute@gmail.com,DHAKA
46123,"RISDA Institute of Technology, Faridpur","Saltha Bazar, Shalta,, Faridpur",1777765400,,,DHAKA
50831,"Rose Dresses Skill Development Center, Aushulia, Dhaka","Jamgora, Diakhali, Asulia, Savar, Dhaka",1713331120,,akmzahid@islam-garments.com,DHAKA
57091,Rumdo Institute of Modern Technology,"Boundary Road, Mymensingh",,,simt.dhaka@gmail.com,DHAKA
33265,"Rural Re-Construction Foundation, RRF","Vila- C&B Road, Karbala, Jessore-7400",,,rrftarc@gmail.com,KHULNA
51066,"Russel Garments, Narayanganj","Osman Tower, 56/1, Maleh Road, Narayanganj",,,Rassel Garments@gmail.com,DHAKA
50116,SAIC Institute of Management & Technology(SIMT),"965 East Shewrapara, Mirpur",,,cmesbd@yahoo.com,DHAKA
20329,"Saic Professional Training Center, Bogra","Matidali Biman Mor, Bypsh 2, Bogra",1715067370,,simt.dhaka@gmail.com,RAJSHAHI
50655,"SAIC Professional Training Centre, Dhaka","House # 10, Road # 02, Block #B, Section # 06, Mirpur, Dhaka",,,simt.dhaka@gmail.com,DHAKA
55182,"SAIC Professional Training Centre, Jamalpur","PTI More, Fulbaria, Jamalpur",1715067370,,Jimtjamalpur@gmail.com,DHAKA
57247,"SAIC Professional Training Centre, Mymensingh","Barera Bypass, Mymensingh",,,rumdo.mym@gmail.com,DHAKA
20999,Saidpur Muslim Aid TVET Center (MATC),"Muslim Aid-UK, Bangladesh Field Office, Laxmanpur (Chorokpara), Saidpur",1735718798,,,RANGPUR
34048,Sathkhira Polytechnic Institute,"Sadar, Sathkhira",,,sathkhirapoly@gmail.com,KHULNA
34024,Satkhira Technical School and College,Sathkhira,,,,KHULNA
34169,"Satkhira Technical Training Center(TTC), Satkhira","Binerpata, Satkhira",1710701142,,satkhirattc@gmail.com,KHULNA
60039,"SBSS Technical Training Institute, Sunamganj","Mohammadpur, Sunamganj",1783599520,,brightsocial@yahoo.com,SYLHET
52090,"Schollers Polytechnic Institute, Narshigd","College Road, Brammondi, Narshigd",1712918611,,spi.engineering2013@gmail.com,DHAKA
43030,"SDS Technical Training Institute (STTI), Sariatpur, Sadar Road, Shariatpur, Shariatpur","Sadar Road, Shariatpur, Shariatpur",1718683220,,sds.shariatpur@gmail.com,DHAKA
53203,"Shahid Moyejuddin Residential & Vocational Women’s Training Center (SMRVWTC),Gazipur","Noapara, Moktarpur, Kaliganj, Gazipur",1782818131,,"Noapara, Moktarpur, Kaliganj, Gazipur",DHAKA
43044,Shariatpur Technical Training Center,"Maksahar, Rudrokor, Shariatpur",1720609580,,shariatpurttc@gmail.com,DHAKA
34010,Shathkhira Govt.Technical School & College,Sathkhira,,,STSC76@yahoo.com,KHULNA
58,Sherpur Poly,Sherpur,,,marfatnew@gmail.com,DHAKA
56011,Sherpur Technical School and College,"Sadar, Sherpur",,,ietpolytechnic16057@gmail.com,DHAKA
56003,"Sherpur Technical Training Center (TTC), Sherpur,","Gonapoddy, Nakla, Sherpur",1712806707,,ttcsherpurnokla@gmail.com,DHAKA
50099,"Shyamoli Ideal Polytechnic Institute, Dhaka","16/c-d, Nurjahan Road, Mohammadpur, Dhaka",,,sitc_d@yahoo.com,DHAKA
70175,"Shyamoli Ideal Technical College, Chittagong","350/A, CDA Avenure, Muradpur",,,ctg_sipi@yahoo.com,CHITTAGONG
50010,"Shyamoli Ideal Technical COLLEGE, Dhaka","16/C, Nurjahan Road, Mohammadpur, Dhaka",1754978173,,ctg_sipi@yahoo.com,DHAKA
50337,"Skill Development Training Institute, Dhaka","4679, Chanpara, Uzampur, Uttarkhan, Dhaka-1230",,,skilldti@gmail.com,DHAKA
74084,"Skus Technical Training Center, Cox’s Bazar","Kolatoli Bypass Road, Dolphin More, Cox’s Bazar",1711307601,,skus.ctg@gmail.com,CHITTAGONG
70163,"Skus Technical Training Center. (STTC), Chattogram","House No -06, Road No -01, Katalgonj R/A, Chattogram",,,skus.ctg@gmail.com,CHITTAGONG
50815,"Sobnom Rajib Institute of Design , Dhanmondi, Dhaka","Mohammodi Super Market (2nd Floor), Opposite side of A.R Plaza, Dhanmondi, Dhaka",1788505109,,skhossainrazib@gmail.com,DHAKA
53103,Star Bangla Technical Training Centre,"Mawna, Sreepur, Gazipur",,,marfatnew@gmail.com,DHAKA
20330,"Sukanna Skill Development Training Center, Bogura","Shahid Abdul Jabbar Sharak, Jaleswaritola, Bogura.",1718658033,,sukannafashionbd@yahoo.com,RAJSHAHI
61444,"Sunamganj Technical Training Center (TTC), Sunamganj","Haluargaon, sunamganj Sadar, Sunamganj",1772003545,,sunamgonjttc@gmail.com,SYLHET
35130,Sundarban Institute of Technology,"161, Jalil Sarani, Boyra Khulna",,,marfatnew@gmail.com,KHULNA
50992,"Sunshine Learning and Caring Center (SLCC), Dhaka","Flat # 1B, House # 34/1, Road # 11, Dhanmoni R/A, Dhaka- 1209",1751689109,,sunshine2016childcare@gmail.com,DHAKA
61041,"Sylhet Mohila Technical Training Centre (SMTTC), Sylhet","Alompur, Sylhet",1739533897,,smttc61041@gmail.com,SYLHET
61008,Sylhet Technical School and College,Sylhet Sadar,,,marfatnew@gmail.com,SYLHET
21066,"T M S S Polytechnic Institute, Natore",,,,,RAJSHAHI
20097,"T M S S Technical Institute, Bogra","Chandpur,Noongula, Bogra",,,tti.tmss@yahoo.com,RAJSHAHI
61137,"Tajpur Union Digital Center (UDC), Sylhet","Tajpur Union Parishad, Osmaninagar, Sylhet",1737383619,,azadak911@gmail.com,SYLHET
54096,Tangail Technical Training Centre,"Sadar, Tangail",,,tangailttc@gmail.com,DHAKA
48073,Tarasima Apparales Ltd. Manikganj,"Golora, Kaitra, Saturaia, Manikganj",,,,DHAKA
50148,"Technical Teachers Training College (TTTC), Dhaka","Tejgaon, Dhaka",,,marfatnew@gmail.com,DHAKA
14777,"Technical Training Center (TTC), Lalmonirhat","Harivanga, Lalmonirhat",1724909024,,ttclal_45@yahoo.com,RANGPUR
61026,"Technical Training Center, Sylhet","Alompur, Sylhet",,,bo azad@YAHOO.COM,SYLHET
12072,"Technical Training Center, Thakurgaon","Goalpara, Thakurgaon",1920660576,,ttcthakurgaon@gmail.com,RANGPUR
15117,"Teesta Technical Center for HD , Lalmonirhat","Taluk Khutamara (Banvasha), Lalmonirhat Sadar, Lalmonirhat",1912307022,,ttchd.lalmonirhat@gmail.com,RANGPUR
50026,Test Polytechnic Institute,"Mirpur, Dhaka",,,,DHAKA
17196,Thai Bekary & Training Institute. Kurigram,"Bisshershor, Khalilganj, Kurigram",1737531027,,thaibekary.confectionary@gmail.com,RANGPUR
12053,THAKURGAON POLYTECHNIC INSTITUTE,Thakurgaon Sadar,,,principal @ tpi.edu.bd,RANGPUR
12045,Thakurgaon Technical and Business Management College,"Santinagar, Thakurgaon",,132817,sadeqilislamtusar@gmail.com,RANGPUR
12024,Thakurgaon Technical School and College,Thakurgaon Sadar,,,,RANGPUR
64091,"The New St. Mary’s Training Institute, Brahmanbaria.","Vadhughar (Fatapukur), Brahmanbaria",1712016065,,rahulrjph@yahoo.com,CHITTAGONG
53154,"TMSS Vocational Training Center, Dorapar, Balurmath, Gazipur","Sadar, Gazipur",1713377090,,tdtmss@gmail.com,DHAKA
203311,"TMSS Vocational Training Center (TVTC), Jashore","Ball Point Field, Benapole, Sharsha, Jashore",1713377091,,tdtmss@gmail.com,KHULNA
64090,"TMSS Vocational Training Center , B-Baria","Sorari Bazzar, Bissoroad, B-Baria",1736625192,,tdtmss@gmail.com,CHITTAGONG
63077,"TMSS Vocational Training Center, Hobigonj","Zero Point, Bhander Bazar,Inatgonj,Nabigonj,Hobigonj",1760005406,,tdtmss@gmail.com,SYLHET
59160,"TMSS Vocational Training Center, Kishoregonj","Harua, Kishoregonj",1723333635,,tdtmss@gmail.com,DHAKA
60040,"TMSS Vocational Training Center, Sunamgonj",,1748937523,,,SYLHET
50707,Tommy Miah's Hospitality Management Institute,"Kabir Kunj, House # 14, Flat B2, Road # 13/C, Block # E, Banani, Dhaka",,,ceo.tmhmibd@gmail.com,DHAKA
61132,"Tommy Miah’s Hospitality Management Institute, Sylhet,","Hannan Manson(2nd&3rd floor)Rikabibazar, Sylhet",1712812985,,tazul.tommymiah@gmail.com,SYLHET
Jashore,Tony Khan Hotel Management & Skill Development Institute (TKHMSDI) Jashore,"DC Banglo Road, Karbala, Jashore",1712336261,,tkhmi.jashore@gmail.com,KHULNA
35268,"Tony Khan Hotel Management Institute & Skill Development, Khulna","Rupsha Plaza (4th Floor), 73/3 KDA Avenue, Khulna-9100,",1727391181,,azammalik003@gmail.com,KHULNA
61092,"Tony Khan Hotel Management Institute, Sylhet","9/A, Ananda Tower, Jail Road, Shlhet",,,info@tkhmi.com,SYLHET
50989,"Tony Khan Ins. of Skills Dev. for Culinary & Hospitality Mgm (TKISD) , Dhaka,","19B/2- C&2- D, Block-F, Ring Road, Mohammadpur, Dhaka-1207",1712512661,,tkisddhaka@gmail.com,DHAKA
50598,"Tony Khan Kulinari Institute and Hotel Management, Dhanmondi, Dhaka","Jebun Akrid, House # 4, Dhanmondi, Dhaka-1209",,,info@tonykhan-institute.com,DHAKA
53065,"Trust Technical Training Institute (TTTI), Gazipur","BMTF Gazipur Cant, Gazipur-1703",,,principle@ttti.ac.bd,DHAKA
23186,UCEP Rajshahi Technical School,"Pava, Rajshahi",,11111,gopal.mazumder@ucepbd.org,RAJSHAHI
70198,UCEP AMBAGAN TECHNICAL SCHOOL,"Flora Pass Road, Ambagan, Chittagong",,,marfatnew@gmail.com,CHITTAGONG
42112,UCEP Barisal Technical School,Kashipur,,,,BARISAL
50136,"UCEP Dhaka Technical School, Mirpur, Dhaka","Mirpur, Dhaka",,,,DHAKA
53099,UCEP Gazipur Technical School,Gazipur-1706,,,aminul.islam@ucepbd.org,DHAKA
61133,"UCEP Ghashitola School, Sylhet","Beterbazar, Sylhet,",,,sukumar.saha@ucepbd.org,SYLHET
61067,UCEP Hafiz Mazumder Sylhet Technical School,Sylhet,,,marfatnew@gmail.com,SYLHET
50544,"UCEP Jatrabari Technical School, Matuail, Dhaka",JATRABARI,,,UCEP Jatrabari@gmail.com,DHAKA
70300,"UCEP Mabia Rashidia School, Khalurghat, Chattogram","Charrangmatia, Mohara, Khalurghat, Chattogram",1770005711,,sukumar.saha@ucepbd.org,CHITTAGONG
35083,"UCEP Mohsin Technical School, Khulna","7, Junction Road, Baikali, Khulna",,,,KHULNA
16217,UCEP Rangpur Technical School,"Talukdarmadas, Ragpur",,11111,shameem.ahsan@ucepbd.org,RANGPUR
42180,"Unicare Health and Technical Training Institute (UHTTI), Barishal,","House-1136, Sharif Mansion (3rd Floor)",1769766666,,uhtti.barishal@gmail.com,BARISAL
50626,"Update Hotel Management Institute, Dhaka","Unique Trade Center (Ground Floor), 8 Pantha Path, Dhaka",,,kanize uniquegroupbd.com,DHAKA
50725,"UYS Training Institute, Dhaka","5th floor, Wireless Gate Mohakhali, Dhaka-1213",,,ceo@uysys.com farhana@uysys.com,DHAKA
50835,"UY_Tech Institute, Mirpur, Dhaka","Md. Montasir Al Mamun, BPMI Bhaban, Plot-213-214, 1st Floor, Road -3, Janata Housing, Shah Ali bag, Mirpur-2, Dhaka-1216",1712731455,,mmamun301@gmail.com,DHAKA
20102,"Vocational TeachersTraining Institute (VTTI),Bogura","Sherpur, Road, Bogra",,20102,vtti_bogra@yahoo.com,RAJSHAHI
70118,"Western Maritime Institute, Chattagram","Block-28/A, Sagaricka Road, CHITTAGONG",1711750619,,monzu@wms.com.bd,CHITTAGONG
50914,"Woodtech Technical Training Center, Azompur, Uttara, Dhaka","Woodtech furniture, 382 Dewan Bari, Azompur, Uttara, Dhaka.",1611106060,,nazrulslm209@gmail.com,DHAKA
50598,"YES Tourism & Hotel Management Institute(YTHMI), Dhaka,","Dhaka, House#4 (5th Floor), Road #16 (Old-27), Dhanmondi, Dhaka-1209",1730494144,,info@yesinstitutebd.com,DHAKA
58150,"ZHUMKA TRAINING INSTITUTE, NETRAKONA","Gandapur, Sakua Bazar, Challisha, Netrokona",1619923941,,zhumkadinaed@gmail.com,DHAKA
60041,"Zhumka Training Institute, Sunamgonj","Mohammadpur, Sunamgonj Sadar",1711133673,,,SYLHET
